5.49	20
5.79	40
6.09	-20
6.39	-40
6.69	20
6.99	-40
7.29	20
7.59	40
7.89	-20
8.19	40
8.49	20
8.79	40
9.09	-20
9.39	40
9.69	20
9.99	-40
10.29	20
10.59	40
10.89	-20
11.19	40
11.49	20
11.79	-40
12.09	20
12.39	-40
12.69	-20
12.99	40
13.29	-20
13.59	40
13.89	20
14.19	-40
14.49	20
14.79	40
15.09	-20
15.39	40
15.69	-20
15.99	-40
16.29	20
16.59	-40
16.89	20
17.19	40
17.49	-40
17.79	40
18.09	-40
18.39	-40
18.69	20
18.99	40
19.29	40
19.59	-40
19.89	-20
20.19	40
20.49	-20
20.79	-40
21.09	-40
21.39	-40
21.69	-20
21.99	-40
22.29	-20
22.59	40
22.89	20
23.19	-40
23.49	-40
23.79	40
24.09	-40
24.39	40
24.69	-20
24.99	-40
25.29	-20
25.59	40
25.89	20
26.19	-40
26.49	20
26.79	-40
27.09	20
27.39	-20
27.69	-20
27.99	-40
28.29	-20
28.59	40
28.89	20
29.19	-40
29.49	-20
29.79	-40
30.09	-20
30.39	-40
30.69	20
30.99	40
31.29	-40
31.59	40
31.89	-20
32.19	-40
32.49	-20
32.79	40
33.09	20
33.39	40
33.69	-20
33.99	40
34.29	-20
34.59	40
34.89	-20
35.19	40
35.49	-20
35.79	40
36.09	20
36.39	-40
36.69	20
36.99	-40
37.29	40
37.59	-40
37.89	0
40.89	-20
41.19	-40
41.49	20
41.79	-40
42.09	40
42.39	-40
42.69	20
42.99	-40
43.29	40
43.59	-20
43.89	20
44.19	-40
44.49	20
44.79	-40
45.09	-20
45.39	40
45.69	-20
45.99	40
46.29	20
46.59 0
50.19	40
50.49	20
50.79	-40
51.09	-20
51.39	-40
51.69	20
51.99	-40
52.29	20
52.59	-40
52.89	-20
53.19	-40
53.49	40
53.79	20
54.09	-20
54.39	-40
54.69	20
54.99	-40
55.29	20
55.59	40
55.89	-20
56.19	40
56.49	-20
56.79	40
57.09	-20
57.39	-40
57.69	20
57.99	40
58.29	-20
58.59	20
58.89	20
59.19	-40
59.49	20
59.79	40
60.09	-20
60.39	-40
60.69	-20
60.99	40
61.29	20
61.59	-40
61.89	40
62.19	-40
62.49	-20
62.79	40
63.09	20
63.39	-40
63.69	-20
63.99	-40
64.29	-20
64.59	40
64.89	20
65.19	40
65.49	-40
65.79	40
66.09	20
66.39	-40
66.69	20
66.99	-40
67.29	-20
67.59	40
67.89	20
68.19	-40
68.49	20
68.79	40
69.09	-20
69.39	40
69.69	20
69.99	-40
70.29	20
70.59	-40
70.89	20
71.19	40
71.49	-20
71.79	40
72.09	20
72.39	-40
72.69	20
72.99	40
73.29	-20
73.59	-40
73.89	20
74.19	40
74.49	-20
74.79	40
75.09	20
75.39	-40
75.69	20
75.99	40
76.29	0
79.29	-20
79.59	-40
79.89	-20
80.19	40
80.49	-20
80.79	40
81.09	20
81.39	-40
81.69	20
81.99	-40
82.29	20
82.59	-40
82.89	20
83.19	40
83.49	20
83.79	-40
84.09	-20
84.39	40
84.69	20
84.99	40
85.29	-20
85.59	-40
85.89	20
86.19	40
86.49	20
86.79	-40
87.09	20
87.39	-40
87.69	20
87.99	-20
88.29	20
88.59	40
88.89	-20
89.19	-40
89.49	20
89.79	40
90.09	20
90.39	40
90.69	-20
90.99	40
91.29	20
91.59	-20
91.89	20
92.19	-40
92.49	20
92.79	40
93.09	20
93.39	-40
93.69	20
93.99	40
94.29	-20
94.59	40
94.89	-40
95.19	40
95.49	20
95.79	-40
96.09	20
96.39	0
99.99	-40
100.29	20
100.59	40
100.89	-40
101.19	40
101.49	-20
101.79	40
102.09	20
102.39	-20
102.69	20
102.99	-40
103.29	-20
103.59	-40
103.89	-20
104.19	0
107.19	-40
107.49	-20
107.79	-40
108.09	20
108.39	40
108.69	20
108.99	-40
109.29	-20
109.59	40
109.89	20
110.19	40
110.49	-20
110.79	-40
111.09	-20
111.39	-40
111.69	20
111.99	40
112.29	-20
112.59	-40
112.89	20
113.19	40
113.49	-20
113.79	-40
114.09	-20
114.39	40
114.69	20
114.99	-40
115.29	-20
115.59	-40
115.89	20
116.19	40
116.49	-20
116.79	40
117.09	-20
117.39	40
117.69	20
117.99	-40
118.29	20
118.59	40
118.89	20
119.19	40
119.49	-20
119.79	40
120.09	20
120.39	40
120.69	20
120.99	-40
121.29	20
121.59	40
121.89	20
122.19	-40
122.49	20
122.79	40
123.09	20
123.39	40
123.69	-20
123.99	40
124.29	20
124.59	40
124.89	20
125.19	-40
125.49	20
125.79	40
126.09	20
126.39	-40
126.69	20
126.99	-40
127.29	20
127.59	-40
127.89	-20
128.19	40
128.49	-20
128.79	-40
129.09	20
129.39	-40
129.69	20
129.99	40
130.29	-20
130.59	-40
130.89	20
131.19	40
131.49	20
131.79	-40
132.09	20
132.39	40
132.69	-20
132.99	40
133.29	20
133.59	40
133.89	-20
134.19	0
137.79	-40
138.09	-20
138.39	40
138.69	20
138.99	40
139.29	-20
139.59	-40
139.89	-20
140.19	40
140.49	20
140.79	-40
141.09	20
141.39	40
141.69	-20
141.99	40
142.29	20
142.59	-40
142.89	-20
143.19	-40
143.49	20
143.79	-40
144.09	-20
144.39	40
144.69	20
144.99	-20
145.29	20
145.59	-40
145.89	20
146.19	40
146.49	-20
146.79	-40
147.09	-20
147.39	40
147.69	20
147.99	-40
148.29	20
148.59	40
148.89	-20
149.19	-40
149.49	20
149.79	-40
150.09	20
150.39	40
150.69	-20
150.99	-40
151.29	20
151.59	40
151.89	20
152.19	-40
152.49	-20
152.79	-40
153.09	0
156.09	-20
156.39	-40
156.69	-20
156.99	40
157.29	-20
157.59	40
157.89	20
158.19	-40
158.49	-20
158.79	40
159.09	20
159.39	-40
159.69	20
159.99	40
160.29	-20
160.59	-40
160.89	-20
161.19	-40
161.49	20
161.79	40
162.09	-20
162.39	40
162.69	20
162.99	-40
163.29	20
163.59	-40
163.89	-20
164.19	40
164.49	20
164.79 -20
165.09	20
165.39	40
165.69	20
165.99	-40
166.29	20
166.59	40
166.89	20
167.19	-40
